,ATT_FILE_NO_MK,HASH_TAG,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06,MANUAL_IMG01,MANUAL_IMG02,MANUAL_IMG03,MANUAL_IMG04,MANUAL_IMG05,MANUAL_IMG06,RCP_NM,RCP_PARTS_DTLS,RCP_PAT2
10,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_1.png,,1. 시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜고 우유를 넣고 블렌더에 곱게 갈아 체에 거른다.,"2. 껍질 벗긴 감자는 찜기에 넣어 20분 정도 삶고 꺼내서 으깨고, 아몬드는 잘게 다지며, 치커리는 곱게 다진다.","3. 으깬 감자, 다진 치커리, 시금치 우유소스, 설탕을 넣고 섞어 접시에 담고 아몬드, 크랜베리를 올리고 시금치우유 소스를 곁들인다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_5.png,,,,시금치 우유 소스와 그린매쉬드포테이토,"●그린매쉬드포테이토 : 감자 80g(1/2개), 시금치우유 소스 5g(1작은술), 아몬드 2g(1알), 설탕 2g(1/3작은술), 크랜베리 3g, 치커리 약간,●시금치우유 소스 : 시금치 10g, 우유 10g(2작은술)",반찬
11,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_1.png,연두부,1. 곱게 다진 양파와 오이피클은 물기를 짠다.,"2. 연두부에 다진 양파, 다진 오이피클, 올리브유, 머스터드, 후추, 꿀, 식초, 레몬즙을 넣어 두부타르타르 소스를 만든다.",3. 새송이버섯은 0.5cm 두께로 썰고 프라이팬에 노릇하게 구워준 후 접시에 새송이버섯과 치커리를 담고 소스를 곁들인다.,,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00091_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00091_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00091_5.png,,,,버섯구이와 두부타르타르 소스,"●버섯구이 : 새송이버섯 70g(7개), 올리브유 10g(2작은술),●곁들임 : 치커리 10g(3줄기),●두부타르타르 소스 : 연두부 30g(1/4모), 다진 양파 10g(2작은술), 다진 오이피클 10g(2작은술), 올리브유 2g(1/3작은술), 식초 5g(1작은술), 레몬즙 3g(2/3작은술), 머스터드 3g(2/3작은술), 꿀 2g(1/3작은술), 흰 후추 약간",반찬
12,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_1.png,,"1. 저염간장, 식초, 레몬즙, 설탕을 혼합하여 간장레몬 소스를 만든다.","2. 호박, 가지, 새송이버섯은 3cm 길이로 자른 후 얇은 편으로 채 썰고, 양파, 파프리카, 피망은 호박 길이로 썬다.","3. 가지, 호박, 새송이버섯, 양파, 파프리카, 피망에 올리브유를 바르고 달궈진 그릴 팬에 구운 후 접시에 담고 발사믹 크레타를 뿌리고 간장레몬 소스를 곁들인다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_3.png,,,,구운채소와 간장레몬 소스,"●구운채소 : 가지 20g(3cm), 호박 50g(1/3개), 새송이버섯 15g(3개), 양파 15g(1/8개), 발사믹크레마 15g(1큰술), 빨강 파프리카 3g(3×1cm), 노랑 파프리카 3g(3×1cm), 청피망 3g(3×1cm), 올리브유 약간,●간장 레몬 소스 : 저염간장 5g(1작은술), 식초 15g(1큰술), 설탕 10g(1큰술), 레몬즙 5g(1작은술)",반찬
13,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_1.png,,"1. 두유에 플레인요거트와 레몬즙, 설탕을 넣고 잘 섞어 두유요거트 소스를 만든다.",2. 강낭콩은 물에 불린 후 콩과 물을 1:2.5로 넣고 20~25분 삶아 건지고 브로콜리와 컬리플라워는 한입 크기로 썰어 끓는 소금물에 살짝 데쳐 찬물에 헹궈 물기를 뺀다.,"3. 접시에 데친 브로콜리와 컬리플라워, 삶은 강낭콩, 채썬 적양파, 다진 호두, 건포도를 담고 두유요거트 소스를 곁들여 낸다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00094_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00094_4.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00094_5.png,,,,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,"●브로콜리컬리플라워 샐러드 : 브로콜리 40g(1/5송이), 컬리플라워 40g(1/3송이), 적양파 10g(2×1cm), 강낭콩 5g(1작은술), 건포도 5알, 호두 1/2알, 소금 약간,●두유요거트 소스 : 두유 50g(3⅓큰술), 플레인요거트 20g(1⅓큰술), 레몬즙 5g(1작은술), 설탕 약간",반찬
14,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,,1. 오렌지는 깨끗이 씻어 껍질을 벗긴다.,2. 당근은 깨끗이 씻어 작은 토막으로 썬다.,"3. 당근, 오렌지, 물(50ml)을 믹서에 곱게 간다.",4. 믹서에 갈아낸 주스는 고운 체로 거른다.,5. 주스를 살얼음이 생길 만큼 시원하게 냉동한다.,6. 컵에 담아 마무리한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_1.jpg,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_2.jpg,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_3.jpg,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_4.jpg,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_5.jpg,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_6.jpg,오렌지와 당근 만남주스,"오렌지 당근펀치,당근 100g(1/2개), 오렌지 100g(1/2개)",후식
15,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_1.png,저염소금,"1. 잣, 아몬드, 해바라기씨, 호두, 호박씨는 다진다.","2. 끓는 물에 저염소금과 식초를 넣은 후 소면을 삶은 후 체에 건져 물기를
뺀다.","3. 석류는 물 600g와 함께 믹서에 갈고 체에 걸러 즙을 낸다. 그릇에 면을 담고 차갑게 식힌 석류즙을 붓고 견과류, 채 썬 오이를 고명으로 올린다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_3.png,,,,칠곡석류국수,"●주재료 : 소면 160g, 저염소금 4g(1작은술), 식초 8g(1/2작은술),●소스 : 석류 200g(1/2개),●장식 : 잣 4g(1작은술), 아몬드 4g(1작은술), 해바라기씨 4g(1작은술), 호두 4g(1작은술), 호박씨 4g(1작은술), 오이 20g(1/4개)",일품
16,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_1.png,실곤약,"1. 검은콩을 1시간 찬물에 담가 불린 후 삶아 익힌 후 불순물을 제거하고 흑임자, 생수, 삶은 콩, 호두를 믹서에 갈아 살엄음이 생기도록 냉동실에 넣는다.","2. 오이는 돌려 깎아 채 썰고, 토마토는 1/8크기로 썰고, 달걀은 삶아 반으로 자른다.","3. 실곤약은 끓는 물에 데치고 찬물에 헹궈 그릇에 담은 후 콩물을 담고 오이, 토마토, 달걀을 고명으로 올려 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00113_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00113_4.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00113_6.png,,,,블랙빈 곤약국수,"●주재료,실곤약 440g, 검은콩 70g, 볶은 흑임자 6g(1작은술), 호두 6g(1알),●장식,오이 20g(1/8개), 토마토 50g(1/2개), 달걀 50g(1개)",일품
17,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_1.png,닭가슴살,"1. 브로콜리, 숙주, 표고버섯, 닭 가슴살은 다지고 다진 닭 가슴살은 소금과 후추로 밑간 한다.","2. 다진 채소와 닭가슴살, 참기름, 저염간장을 섞어 만두소를 만든다.",3. 준비한 만두피에 만두소를 넣은 후 만두 모양으로 빚고 만두를 찜통에 넣어 찌고 그릇에 담는다.,,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_3.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_4.png,,,,닭가슴살 브로콜리 만두,"주재료,만두피 4g(2장), 브로콜리 100g(1/4개), 숙주 100g, 표고버섯 20g(2개), 닭 가슴살 100g, 참기름 2g(1/2작은술), 저염간장 4g(1작은술), 소금 0.5g, 후춧가루 0.1g",일품
18,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_1.png,,"1. 함초, 노루궁뎅이버섯, 다시마, 파, 양파, 무를 물에 넣어 10분 끓이고 향이 강한 모시조개와 냉이를 넣고 30분  끓인 후 간장으로 색을 낸다.",2. 소면은 따로 삶는다.,"3. 그릇에 삶은 소면을 담은 후 육수를 붓고 지단, 슬라이스한 청고추, 실고추를 올려 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00131_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00131_4.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00131_5.png,,,,함초 냉이 국수,"●주재료 : 소면 50g,●육수 : 함초 3g(1/2작은술), 노루궁뎅이버섯 25g(1/2개), 다시마 17g(15cm), 파 140g(1/2개), 양파 150g(1/2개), 무 250g(1/3개), 모시조개 150g(3/4컵), 냉이 35g, 간장 30g(2큰술),●장식 : 달걀 50g(1개), 청고추 20g(1개), 실고추 2g",일품
19,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_1.png,,1. 두부에 쌀뜨물을 넣고 갈아준다.,2. 돼지고기는 썰고 김치는 물에 씻어 양념을 제거하고 3×3cm로 썬다.,"3. 냄비에 돼지고기와 김치를 함께 볶은 후, 망에 거른 된장과 1의 두부, 고춧가루, 청양고추, 홍고추를 넣어 끓이다가 대파를 넣어 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00137_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00137_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00137_3.png,,,,된장 두부찌개,"두부 320g(1모), 쌀뜨물 300g(1½컵), 돼지고기 100g, 김치 140g, 된장 20g(1½큰술), 청양고추 10g(1/2개), 홍고추 5g(1/4개),,대파 10g(2cm), 고춧가루 5g(1작은술)",국&찌개
20,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_1.png,,"1. 김치, 베이컨, 스팸, 소시지, 양파, 두부, 무는 두께 0.5cm로 썬다.",2. 다시마와 물을 끓여 다시마물을 만든다.,"3. 냄비에 소시지, 베이컨, 두부, 스팸, 무, 우민찌, 김치, 다시마물 300g을 넣어 끓인 후 저염된장, 양파, 대파, 다진 마늘, 떡국 떡을 넣고 재료가 다 익으면 홍고추와 청양고추를 넣어 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00138_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00138_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00138_3.png,,,,부대된장찌개,"다시마 1g, 두부 10g, 떡국 떡 10g, 스팸(마일드) 10g, 다진 마늘 5g, 무 20g, 김치 15g, 소시지 10g(1/2개), 우민찌 5g(1작은술), 양파 5g, 저염된장 15g(1큰술), 베이컨 5g, 대파 5g, 청양고추 5g, 홍고추 1g",국&찌개
21,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00181_1.png,,"1. 감자는 믹서에 갈고 양배추는 채 썰고 고기, 당근, 청양고추, 두부는 다진다.",2. 준비해둔 재료를 모두 섞고 부침가루와 계란을 넣어 반죽한다.,3. 가열된 팬에 기름을 두르고 반죽을 부어 굽고 소스를 함께 곁들인다.,,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00181_4.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00181_5.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00181_6.png,,,,양배추감자전,"●주재료 : 감자 100g(1개), 양배추 150g(1/2개), 당근 15g(1/10개), 두부 20g(1/20모), 돼지고기 30g, 청양고추 5g(1개), 부침가루 45g(3큰술), 달걀 60g(1개), 식용유 15g(1큰술),●소스 : 오렌지즙 15g(1큰술), 간장 2g(1/2작은술), 식초 10g(2작은술)",반찬
22,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_1.png,,1. 청양고추와 홍고추를 다져서 참기름에 살짝 볶은 후 볶은 고추에 마요네즈와 레몬즙을 넣어 소스를 만든다.,"2. 돌나물은 손질하여 찬물에 담구고 새송이버섯은 달군 프라이팬에 참기름을 두르고 노릇
하게 굽는다.","3. 돌나물은 물기를 빼고 구운 새송이버섯과 레몬마요네즈 소스를 넣고
버무려 접시에 담는다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_4.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_5.png,,,,돌나물 샐러드,"●돌나물 샐러드 : 돌나물 90g, 미니새송이버섯 60g(7개), 참기름 약간,●레몬마요네즈 소스 : 마요네즈 10g(2작은술), 레몬즙 20g(1⅓큰술), 청양고추 5g(1/2개), 홍고추 5g(1/2개), 참기름 약간",반찬
23,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00159_1.png,,1. 배추를 소금물에 하루 동안 절인 후 물기를 빼고 석류는 즙을 낸다.,"2. 무는 채 썰고, 쪽파와 미나리는 4cm로 자른다.","3. 무채, 미나리, 쪽파, 다진 마늘, 다진 생강, 새우젓국을 넣고 섞어 소를 만들고 절인 배추에 소를 넣고 오므려 싼다. 석류즙에 소를 채운 배추를 담가 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00159_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00159_3.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00159_4.png,,,,석류 보쌈김치,"●주재료 : 배추 70g(1/10개), 석류즙 10g(2작은술), 소금 5g(1/2작은술),●양념 : 무 10g(3cm), 미나리 10g, 쪽파 10g(1개), 다진 마늘 5g(1작은술), 다진 생강 5g(1작은술), 새우젓국 15g(1큰술)",반찬
24,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00161_1.png,,"1. 발사믹 식초, 화이트와인, 다진 유자청 건더기를 넣고 졸여 소스를 만들고 대구를 손질하여 포를 뜬다.","2. 대파, 청파프리카, 홍파프리카, 황파프리카를 채 썬다.","3. 대구포에 밀가루를 묻혀 청파프리카, 홍파프리카, 황파프리카, 황금팽이버섯을 넣고 말아 미나리로 묶어 찐 후 소스를 뿌리고 썬 대파를 올려 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00161_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00161_3.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00161_4.png,,,,유자 대구조림,"●주재료 : 대구살 120g, 홍파프리카 10g(1/10개), 황파프리카 10g(1/10개),청파프리카 10g(1/10개), 황금팽이버섯 10g, 미나리 20g, 밀가루 25g(2큰술),●소스 : 유자청 20g(1⅓큰술), 발사믹식초 10g(2작은술), 화이트와인 10g(2작은술),●장식 : 대파 30g(1개)",반찬
25,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00162_1.png,,1. 황파프리카를 갈아 체에 내리고 멥쌀로 쌀풀을 만들어 황파프리카 즙을 섞고 물엿을 첨가하여 양념을 만든다.,2. 배추를 소금물에 절이고 절인 배추를 찬물로 씻어 소금기를 뺀다.,"3. 소금기를 뺀 배추에 채썬 자색고구마, 무, 쪽파, 부추, 사과, 배를 놓고 양념을 부은 후 3일 동안 숙성시켜 완성한다.",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00162_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00162_3.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00162_5.png,,,,파프리카 물김치,"●주재료 : 자색고구마 10g(3cm), 무 10g(2cm), 배 80g(1/4개), 배추 200g(1/3개), 부추 10g, 사과 80g(1/3개), 쪽파 10g(10cm), 소금 20g(1⅓큰술),●양념 : 멥쌀 10g(2작은술), 물엿 50g(1/4컵), 황파프리카 140g(1½개)",반찬
26,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00193_1.png,,"1. 양파와 마늘은 다져서 볶다가 토마토 과육과 설탕, 바질을 넣고 고추장을 섞어 토마토 소스를 만든다.","2. 가지, 양송이버섯, 애호박, 사과는 썰고 살라미는 데친다.","3. 오븐용 팬에 토마토 소스를 넓게 펴준 뒤 애호박, 가지, 양송이버섯, 살라미를 겹치게 넣고 180℃로 예열한 오븐에 넣고 30분 구워 완성한다",,,,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00193_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00193_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00193_3.png,,,,고추장 라따뚜이,"●주재료 : 애호박 70g(1½개), 양송이버섯 60g(3개), 가지 70g(1/2개), 저염살라미 25g, 사과 60g(1/3개),●소스 :양파 40g(1/5개), 마늘 10g(2개), 토마토 600g(3개), 설탕 10g(2작은술), 바질 50g, 고추장 15g(1큰술)",반찬
